id/s,review_count/n,categories/s,rating/n
pKWWUT8mpvhMdOr4X383KA,113,American,4.5
6t5xWjPLWAjJV3YFMX_oaw,112,Japanese,4.5
#NAME?,112,Japanese,4.5
RKAK9AuzKR7K36ABcXPjTA,110,American,4.5
4xeG4hxOJfxhD3ayOcu1pQ,110,Japanese,4.5
v7tsOvXI1YqZDgNgT0qv2Q,109,Mexican,4.5
3OKf1QQnDhjkBKVg0eMllQ,107,Japanese,4.5
bwvd5ZwBTXdpCwJktU-P8g,107,Mexican,4.5
KWPTCL3T9E3HG22s3BspfQ,105,Indian,4.5
TXEl8kyZ4de8CoW7nT_i3A,104,Japanese,4.5
uvcEo61aL2F8e4PCzwZsYg,104,Mexican,4.5
ZgyvDF_hOWas3SXe0Hj7hA,103,American,4.5
n1xpGOPa7XRq4or7QLjzHw,103,Japanese,4.5
KMrQFZY20m4-Dnu3VGltrg,102,American,4.5
hg9XXLb2AeJHJ7eX-6JnMg,102,Chinese,4.5
_eImQkZt0MlQ0jLZH2LrTQ,101,American,4.5
PFtRQf8uL8ynIDg_1gWr0g,101,Japanese,4.5
47_jHPl3p4-OYGCVLy2ZIA,101,Mexican,4.5
jvx3UEV66_Q2x5GnNHGmBQ,99,American,4.5
1VulIvaA95_ZjBIs1O0sxQ,99,Japanese,4.5
yj4culC4vfNKWXdj5ZxJ4Q,99,Japanese,4.5
34LM8_lP8iwizHBu6YgaQQ,99,Mexican,4.5
8XHbZIKDQbXhyKIGiukVeQ,99,Mexican,4.5
utEy6sFnnYfflAk-jKxkbA,98,Mexican,4.5
50eKjWOB-H9iuo1ocACOaQ,97,Indian,4.5
k5bGHJbAXDw9g_uP42QqDw,96,American,4.5
8V7TRbftgcyzobXuzHEP_g,96,Indian,4.5
0nYfyel0UwlI1qXHOjTw0w,96,Japanese,4.5
bQraKjILxZGN1GNKt5XUKA,96,Mexican,4.5
Pikhqmsy370W2BXHnNfP0g,96,Mexican,4.5
yvva7IYpD6J7OfKlCdQrkw,96,Mexican,4.5
T1k1t6NCxNa_2EZ1Sl-heQ,95,Indian,4.5
T-oHllUXvyGBvhn3id5Vwg,95,Indian,4.5
P-XnPhzdGbgbMYIcS0cpTA,93,American,4.5
37RhWHnMsnjULuoN95Bg9A,93,Indian,4.5
t4phqkLdBNNotZBfIC26dA,93,Indian,4.5
h37t9rA06Sr4EetJjKrfzw,92,American,4.5
7qtIemPU3LlNix8CVWdhwA,91,American,4.5
vX0_qcuVXoeeH1_24I8lSA,91,Japanese,4.5
_Ge2eC89Z-jlaDDWglfT8g,90,Chinese,4.5
5eXrMPB5GUM-sapL8T-znQ,90,Japanese,4.5
vlepW-Y_RDQaDMLtEwHWmg,90,Japanese,4.5
8JDwcklaawqYprHg0c9aIA,89,American,4.5
znlol6dCKwjoXpZZwV_ZOg,89,Mexican,4.5
4jucppz-BA0MiY06DjuBYQ,88,Mexican,4.5
FJepPR5CYRggxRwAjlqg6A,87,American,4.5
iXrKGRzIZK0pp31mO3nBzA,87,Indian,4.5
hdiTkEnD14VpXNl-APTg2g,87,Japanese,4.5
WlRZ4JEAVqtemQ5WQhFAFg,87,Japanese,4.5
veeKjzzHsO9e4wKLxpuhtQ,87,Mexican,4.5
F3-DYH9YMa3UEUaedhGocw,86,Mexican,4.5
g4NwsmgkpdEMRvUmLzVLVA,86,Mexican,4.5
jYhbUh1TV7SCfPxjIhVpcg,85,Indian,4.5
3vBVnzsJLRh8WtW3awKxeQ,85,Mexican,4.5
R3fMQtSL0MrMUyW_Q32oNw,84,Indian,4.5
6hw4ibsutVoMl_RK0aAJ7Q,83,American,4.5
xymU2HPO_euz1Ss1AE9Fyw,83,American,4.5
XzxlmC5W37klZXzSHrwOtA,83,American,4.5
nQfPwIasXCi8NwNKq65vfw,83,Indian,4.5
